[2024-09-03 18:20:49.040] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.040] [info] odom: [x 2.3279, y -14.2725, yaw 0.0872] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.079] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.092] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.105] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.156] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.165] [info] odom: [x 2.3279, y -14.2725, yaw 0.0872] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.206] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.251] [info] odom: [x 2.3279, y -14.2725, yaw 0.0872] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.251] [info] odom: [x 2.3279, y -14.2725, yaw 0.0872] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.269] [info] odom: [x 2.3279, y -14.2725, yaw 0.0872] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.287] [info] odom: [x 2.3279, y -14.2725, yaw 0.0872] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
