[2024-09-04 10:08:49.925] [info] odom: [x 1.1116, y -13.4351, yaw -2.8291] vel: [v 0.0000, w 0.5000] estimate: [x 6.9099, y -15.0068, yaw -2.7852] encoder: [x -2.7519, y -13.5647, yaw -1.8540]
[2024-09-04 10:08:49.953] [info] odom: [x 1.1116, y -13.4351, yaw -2.8210] vel: [v 0.0000, w 0.5000] estimate: [x 6.9079, y -15.0050, yaw -2.7767] encoder: [x -2.7519, y -13.5647, yaw -1.8466]
[2024-09-04 10:08:49.963] [info] odom: [x 1.1116, y -13.4351, yaw -2.8098] vel: [v 0.0000, w 0.5000] estimate: [x 6.9077, y -15.0049, yaw -2.7689] encoder: [x -2.7517, y -13.5639, yaw -1.8353]
[2024-09-04 10:08:49.978] [info] odom: [x 1.1115, y -13.4350, yaw -2.8001] vel: [v 0.0000, w 0.5000] estimate: [x 6.9077, y -15.0048, yaw -2.7576] encoder: [x -2.7517, y -13.5638, yaw -1.8277]
[2024-09-04 10:08:50.000] [info] odom: [x 1.1114, y -13.4351, yaw -2.7904] vel: [v 0.0000, w 0.5000] estimate: [x 6.9077, y -15.0048, yaw -2.7480] encoder: [x -2.7519, y -13.5647, yaw -1.8166]
[2024-09-04 10:08:50.021] [info] odom: [x 1.1113, y -13.4351, yaw -2.7808] vel: [v 0.0000, w 0.5000] estimate: [x 6.9076, y -15.0048, yaw -2.7382] encoder: [x -2.7519, y -13.5647, yaw -1.8166]
[2024-09-04 10:08:50.044] [info] odom: [x 1.1112, y -13.4351, yaw -2.7723] vel: [v 0.0000, w 0.5000] estimate: [x 6.9075, y -15.0049, yaw -2.7286] encoder: [x -2.7517, y -13.5638, yaw -1.7983]
[2024-09-04 10:08:50.068] [info] odom: [x 1.1111, y -13.4351, yaw -2.7618] vel: [v 0.0000, w 0.5000] estimate: [x 6.9074, y -15.0049, yaw -2.7201] encoder: [x -2.7519, y -13.5646, yaw -1.7872]
[2024-09-04 10:08:50.086] [info] odom: [x 1.1111, y -13.4352, yaw -2.7523] vel: [v 0.0000, w 0.5000] estimate: [x 6.9073, y -15.0047, yaw -2.7098] encoder: [x -2.7517, y -13.5637, yaw -1.7763]
[2024-09-04 10:08:50.105] [info] odom: [x 1.1110, y -13.4352, yaw -2.7444] vel: [v 0.0000, w 0.5000] estimate: [x 6.9071, y -15.0040, yaw -2.7009] encoder: [x -2.7517, y -13.5638, yaw -1.7691]
[2024-09-04 10:08:50.122] [info] odom: [x 1.1111, y -13.4352, yaw -2.7351] vel: [v 0.0000, w 0.5000] estimate: [x 6.9069, y -15.0027, yaw -2.6846] encoder: [x -2.7519, y -13.5646, yaw -1.7579]
[2024-09-04 10:08:50.140] [info] odom: [x 1.1110, y -13.4352, yaw -2.7254] vel: [v 0.0000, w 0.5000] estimate: [x 6.9069, y -15.0027, yaw -2.6846] encoder: [x -2.7519, y -13.5646, yaw -1.7505]
